mapping_id,status,event_name,proposition,polymarket_market_id,polymarket_slug,polymarket_yes_token_id,polymarket_no_token_id,polymarket_yes_outcome,polymarket_no_outcome,kalshi_ticker,draw_handling,extra_time_handling,penalties_handling,settlement_notes,reviewer,reviewed_at,notes
itf-subasic-samardz-2026-06-25__kxitfwmatch-26jun25subsam-sam,approved,Alana Subasic vs Ayline Samardzic,Ayline Samardzic to win in regular time,0x8fbb4cacee95f3814ec5735e9d784111192c226705c5247f33752857e9cdd796,itf-subasic-samardz-2026-06-25,74326307067640714452587479662597634835247295068699775050657841537777844660268,37033394829055358407683881275667834610098947917963885973634550183727796388375,Yes,No,KXITFWMATCH-26JUN25SUBSAM-SAM,not applicable; tennis markets resolve 50-50 if the match is not played or no winner is determined under venue rules,not applicable; tennis match winner/advancement after play begins,not applicable,"User approved current non-futures pair for research tracking on 2026-06-25T07:46:12Z. Source=tennis_matches; match_score=94.39. No automatic trading; re-check venue settlement/cancellation rules before execution. Polymarket summary: ITF Kayseri: Alana Subasic vs Ayline Samardzic This market refers to the tennis match between Alana Subasic and Ayline Samardzic in the ITF Women Kayseri, originally scheduled for June 25, 2026 at 3:00AM ET. This market will resolve to 'Alana Subasic' if Alana Subasic advances against Ayline Samardz Kalshi summary: Will Ayline Esina Samardzic win the Subasic vs Samardzic: W15 Kayseri Round of 16 match? If Ayline Esina Samardzic wins the Subasic vs Samardzic professional tennis match in the 2026 W15 Kayseri Round of 16 after a ball has been played, then the market resolves to Yes. The following market refers to",user+codex,2026-06-25T07:46:12Z,Approved from final_clean_cross_sports_pair_leads.csv; futures excluded; sport_scope=tennis_matches; run_id=final-clean-cross-sports-scan
itf-subasic-samardz-2026-06-25__kxitfwmatch-26jun25subsam-sub,approved,Alana Subasic vs Ayline Samardzic,Alana Subasic to win in regular time,0x8fbb4cacee95f3814ec5735e9d784111192c226705c5247f33752857e9cdd796,itf-subasic-samardz-2026-06-25,37033394829055358407683881275667834610098947917963885973634550183727796388375,74326307067640714452587479662597634835247295068699775050657841537777844660268,Yes,No,KXITFWMATCH-26JUN25SUBSAM-SUB,not applicable; tennis markets resolve 50-50 if the match is not played or no winner is determined under venue rules,not applicable; tennis match winner/advancement after play begins,not applicable,"User approved current non-futures pair for research tracking on 2026-06-25T07:46:12Z. Source=tennis_matches; match_score=93.97. No automatic trading; re-check venue settlement/cancellation rules before execution. Polymarket summary: ITF Kayseri: Alana Subasic vs Ayline Samardzic This market refers to the tennis match between Alana Subasic and Ayline Samardzic in the ITF Women Kayseri, originally scheduled for June 25, 2026 at 3:00AM ET. This market will resolve to 'Alana Subasic' if Alana Subasic advances against Ayline Samardz Kalshi summary: Will Alana Subasic win the Subasic vs Samardzic: W15 Kayseri Round of 16 match? If Alana Subasic wins the Subasic vs Samardzic professional tennis match in the 2026 W15 Kayseri Round of 16 after a ball has been played, then the market resolves to Yes. The following market refers to the Subasic vs Sa",user+codex,2026-06-25T07:46:12Z,Approved from final_clean_cross_sports_pair_leads.csv; futures excluded; sport_scope=tennis_matches; run_id=final-clean-cross-sports-scan
atp-canas-kwon-2026-06-25__kxatpmatch-26jun25morkwon-kwon,approved,Alejandro Moro Canas vs Soon-Woo Kwon,Soon-Woo Kwon to win in regular time,0xb0bc5988c50b61bbba40a21b76457e2885c94616e7602fc5a674f3d9c8fd19c9,atp-canas-kwon-2026-06-25,66818655482537660159869093239974910045428018008730855615334995383776223860162,114342750787725210291736076677437335060492554622347771387137438606346911111191,Yes,No,KXATPMATCH-26JUN25MORKWON-KWON,not applicable; tennis markets resolve 50-50 if the match is not played or no winner is determined under venue rules,not applicable; tennis match winner/advancement after play begins,not applicable,"User approved current non-futures pair for research tracking on 2026-06-25T07:46:12Z. Source=tennis_matches; match_score=89.39. No automatic trading; re-check venue settlement/cancellation rules before execution. Polymarket summary: Wimbledon, Qualification ATP: Alejandro Moro Canas vs Soon-Woo Kwon This market refers to the tennis match between Alejandro Moro Canas and Soon-Woo Kwon in the Wimbledon, Qualification ATP, originally scheduled for June 25, 2026 at 7:30AM ET. This market will resolve to 'Alejandro Moro Canas' if Al Kalshi summary: Will Soonwoo Kwon win the Moro Canas vs Kwon: Qualification Final match? If Soonwoo Kwon wins the Moro Canas vs Kwon professional tennis match in the 2026 Wimbledon Men Singles Qualification Final after a ball has been played, then the market resolves to Yes. The following market refers to the Moro ",user+codex,2026-06-25T07:46:12Z,Approved from final_clean_cross_sports_pair_leads.csv; futures excluded; sport_scope=tennis_matches; run_id=final-clean-cross-sports-scan
atp-canas-kwon-2026-06-25__kxatpmatch-26jun25morkwon-mor,approved,Alejandro Moro Canas vs Soon-Woo Kwon,Alejandro Moro Canas to win in regular time,0xb0bc5988c50b61bbba40a21b76457e2885c94616e7602fc5a674f3d9c8fd19c9,atp-canas-kwon-2026-06-25,114342750787725210291736076677437335060492554622347771387137438606346911111191,66818655482537660159869093239974910045428018008730855615334995383776223860162,Yes,No,KXATPMATCH-26JUN25MORKWON-MOR,not applicable; tennis markets resolve 50-50 if the match is not played or no winner is determined under venue rules,not applicable; tennis match winner/advancement after play begins,not applicable,"User approved current non-futures pair for research tracking on 2026-06-25T07:46:12Z. Source=tennis_matches; match_score=95.81. No automatic trading; re-check venue settlement/cancellation rules before execution. Polymarket summary: Wimbledon, Qualification ATP: Alejandro Moro Canas vs Soon-Woo Kwon This market refers to the tennis match between Alejandro Moro Canas and Soon-Woo Kwon in the Wimbledon, Qualification ATP, originally scheduled for June 25, 2026 at 7:30AM ET. This market will resolve to 'Alejandro Moro Canas' if Al Kalshi summary: Will Alejandro Moro Canas win the Moro Canas vs Kwon: Qualification Final match? If Alejandro Moro Canas wins the Moro Canas vs Kwon professional tennis match in the 2026 Wimbledon Men Singles Qualification Final after a ball has been played, then the market resolves to Yes. The following market ref",user+codex,2026-06-25T07:46:12Z,Approved from final_clean_cross_sports_pair_leads.csv; futures excluded; sport_scope=tennis_matches; run_id=final-clean-cross-sports-scan
fifwc-alg-aut-2026-06-27-aut__kxwcgame-26jun27dzaaut-aut,approved,Algeria vs. Austria,Austria to win in regular time,0xca1f4760e175d71d1c7677dbc56a1856dc2cee6a4d8de8275a16dbca716afd24,fifwc-alg-aut-2026-06-27-aut,101870693068643777907933185168096005823100471428921617507976765091257562327892,27404405713596433210136741699058163976803988505508087936621769892990807262113,Yes,No,KXWCGAME-26JUN27DZAAUT-AUT,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"User approved current non-futures pair for research tracking on 2026-06-25T07:46:12Z. Source=world_cup_games; match_score=100.0. No automatic trading; re-check venue settlement/cancellation rules before execution. Polymarket summary: Will Austria win on 2026-06-27? In the upcoming game, scheduled for June 27, 2026 If Austria wins, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open until the game has been completed. If the game is canceled entirel Kalshi summary: Algeria vs Austria Winner? If Austria wins the Algeria vs Austria professional FIFA World Cup soccer game originally scheduled for Jun 27, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes. The following market refers to the Algeria ",user+codex,2026-06-25T07:46:12Z,Approved from final_clean_cross_sports_pair_leads.csv; futures excluded; sport_scope=world_cup_games; run_id=final-clean-cross-sports-scan
fifwc-alg-aut-2026-06-27-alg__kxwcgame-26jun27dzaaut-dza,approved,Algeria vs. Austria,Algeria to win in regular time,0x7806f3a191784bfedb4bb3d99db890d05a834e413a50ecbf6893f7926089e45b,fifwc-alg-aut-2026-06-27-alg,82930050367767323602185033959522193504232064039705778455362784267890724471276,56817251359545290586223408441496117061772785333531385180310928370685185745580,Yes,No,KXWCGAME-26JUN27DZAAUT-DZA,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"User approved current non-futures pair for research tracking on 2026-06-25T07:46:12Z. Source=world_cup_games; match_score=100.0. No automatic trading; re-check venue settlement/cancellation rules before execution. Polymarket summary: Will Algeria win on 2026-06-27? In the upcoming game, scheduled for June 27, 2026 If Algeria wins, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open until the game has been completed. If the game is canceled entirel Kalshi summary: Algeria vs Austria Winner? If Algeria wins the Algeria vs Austria professional FIFA World Cup soccer game originally scheduled for Jun 27, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes. The following market refers to the Algeria ",user+codex,2026-06-25T07:46:12Z,Approved from final_clean_cross_sports_pair_leads.csv; futures excluded; sport_scope=world_cup_games; run_id=final-clean-cross-sports-scan
fifwc-alg-aut-2026-06-27-draw__kxwcgame-26jun27dzaaut-tie,approved,Algeria vs. Austria,Algeria vs. Austria to end in a draw in regular time,0xd6a5a44e8105c4808ba09d19bce444b22b883330fd6e23e5661988b3583a9d4c,fifwc-alg-aut-2026-06-27-draw,54474886969816453525385753955468883023194567537518813967701106946658819435076,77589398731233625163391095478117126824986007937567013296881669864456025748476,Yes,No,KXWCGAME-26JUN27DZAAUT-TIE,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"User approved current non-futures pair for research tracking on 2026-06-25T07:46:12Z. Source=world_cup_games; match_score=100.0. No automatic trading; re-check venue settlement/cancellation rules before execution. Polymarket summary: Will Algeria vs. Austria end in a draw? In the upcoming game, scheduled for June 27, 2026 If the game ends in a draw, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open until the game has been completed. If the game  Kalshi summary: Algeria vs Austria Winner? If Tie wins the Algeria vs Austria professional FIFA World Cup soccer game originally scheduled for Jun 27, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes. The following market refers to the Algeria vs A",user+codex,2026-06-25T07:46:12Z,Approved from final_clean_cross_sports_pair_leads.csv; futures excluded; sport_scope=world_cup_games; run_id=final-clean-cross-sports-scan
wta-sasnovi-andrees-2026-06-25__kxwtamatch-26jun25sasand-and,approved,Aliaksandra Sasnovich vs Bianca Andreescu,Bianca Andreescu to win in regular time,0xee324c038a2206dc7d841c882b744adeb2a70f96518cdda416f2bf7e902af640,wta-sasnovi-andrees-2026-06-25,102184907275894511413085152535641803350737994996144404936609594770878164056363,29280456774515822942769946734297755542473007099786270075124978329003870076390,Yes,No,KXWTAMATCH-26JUN25SASAND-AND,not applicable; tennis markets resolve 50-50 if the match is not played or no winner is determined under venue rules,not applicable; tennis match winner/advancement after play begins,not applicable,"User approved current non-futures pair for research tracking on 2026-06-25T07:46:12Z. Source=tennis_matches; match_score=96.32. No automatic trading; re-check venue settlement/cancellation rules before execution. Polymarket summary: Wimbledon, Qualification WTA: Aliaksandra Sasnovich vs Bianca Andreescu This market refers to the tennis match between Aliaksandra Sasnovich and Bianca Andreescu in the Wimbledon, Qualification WTA, originally scheduled for June 25, 2026 at 8:00AM ET. This market will resolve to 'Aliaksandra Sasnovi Kalshi summary: Will Bianca Andreescu win the Sasnovich vs Andreescu: Qualification Final match? If Bianca Andreescu wins the Sasnovich vs Andreescu professional tennis match in the 2026 Wimbledon Women Singles Qualification Final after a ball has been played, then the market resolves to Yes. The following market r",user+codex,2026-06-25T07:46:12Z,Approved from final_clean_cross_sports_pair_leads.csv; futures excluded; sport_scope=tennis_matches; run_id=final-clean-cross-sports-scan
wta-sasnovi-andrees-2026-06-25__kxwtamatch-26jun25sasand-sas,approved,Aliaksandra Sasnovich vs Bianca Andreescu,Aliaksandra Sasnovich to win in regular time,0xee324c038a2206dc7d841c882b744adeb2a70f96518cdda416f2bf7e902af640,wta-sasnovi-andrees-2026-06-25,29280456774515822942769946734297755542473007099786270075124978329003870076390,102184907275894511413085152535641803350737994996144404936609594770878164056363,Yes,No,KXWTAMATCH-26JUN25SASAND-SAS,not applicable; tennis markets resolve 50-50 if the match is not played or no winner is determined under venue rules,not applicable; tennis match winner/advancement after play begins,not applicable,"User approved current non-futures pair for research tracking on 2026-06-25T07:46:12Z. Source=tennis_matches; match_score=96.92. No automatic trading; re-check venue settlement/cancellation rules before execution. Polymarket summary: Wimbledon, Qualification WTA: Aliaksandra Sasnovich vs Bianca Andreescu This market refers to the tennis match between Aliaksandra Sasnovich and Bianca Andreescu in the Wimbledon, Qualification WTA, originally scheduled for June 25, 2026 at 8:00AM ET. This market will resolve to 'Aliaksandra Sasnovi Kalshi summary: Will Aliaksandra Sasnovich win the Sasnovich vs Andreescu: Qualification Final match? If Aliaksandra Sasnovich wins the Sasnovich vs Andreescu professional tennis match in the 2026 Wimbledon Women Singles Qualification Final after a ball has been played, then the market resolves to Yes. The followin",user+codex,2026-06-25T07:46:12Z,Approved from final_clean_cross_sports_pair_leads.csv; futures excluded; sport_scope=tennis_matches; run_id=final-clean-cross-sports-scan
itf-chanta-sa-2026-06-25__kxitfwmatch-26jun24chasat-cha,approved,Anchisa Chanta vs Hikaru Sato,Anchisa Chanta to win in regular time,0xfec677c7980f8f4d71aa924bcece5b1e258544144071fb241398bb2ea0288776,itf-chanta-sa-2026-06-25,51631847125237896394483319393177496510746642196891742930349563694550889121480,103759764720652923676382189278471657265843650020117657416830208427728519416068,Yes,No,KXITFWMATCH-26JUN24CHASAT-CHA,not applicable; tennis markets resolve 50-50 if the match is not played or no winner is determined under venue rules,not applicable; tennis match winner/advancement after play begins,not applicable,"User approved current non-futures pair for research tracking on 2026-06-25T07:46:12Z. Source=tennis_matches; match_score=93.79. No automatic trading; re-check venue settlement/cancellation rules before execution. Polymarket summary: ITF Taipei: Anchisa Chanta vs Hikaru Sato This market refers to the tennis match between Anchisa Chanta and Hikaru Sato in the ITF Women Taipei, originally scheduled for June 24, 2026 at 9:45PM ET. This market will resolve to 'Anchisa Chanta' if Anchisa Chanta advances against Hikaru Sato. This mark Kalshi summary: Will Anchisa Chanta win the Chanta vs Sato: W35 Taipei Round of 16 match? If Anchisa Chanta wins the Chanta vs Sato professional tennis match in the 2026 W35 Taipei Round of 16 after a ball has been played, then the market resolves to Yes. The following market refers to the Chanta vs Sato profession",user+codex,2026-06-25T07:46:12Z,Approved from final_clean_cross_sports_pair_leads.csv; futures excluded; sport_scope=tennis_matches; run_id=final-clean-cross-sports-scan
