mapping_id,status,event_name,proposition,polymarket_market_id,polymarket_slug,polymarket_yes_token_id,polymarket_no_token_id,polymarket_yes_outcome,polymarket_no_outcome,kalshi_ticker,draw_handling,extra_time_handling,penalties_handling,settlement_notes,reviewer,reviewed_at,notes
fifwc-arg-aut-2026-06-22-arg__kxwcgame-26jun22argaut-arg,approved,Argentina vs. Austria,Argentina to win in regular time,0x5bdcf0fd010eba1a55a0f3de9be6612fc72038279a734e994ce2e34664a3cfe4,fifwc-arg-aut-2026-06-22-arg,43065377931595109421738195806896155428299627622642742017785976384593510801128,77002366109109127479239996257904251473000417388964866523475185435352010232935,Yes,No,KXWCGAME-26JUN22ARGAUT-ARG,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"Approved strict automated match suggestion with match_score=100. Both normalized summaries indicate regular time plus stoppage time only; extra time and penalties are excluded. Draw/Tie is modeled as a separate outcome, so team-winner propositions resolve No on draw. Polymarket summary: Will Argentina win on 2026-06-22? In the upcoming game, scheduled for June 22, 2026 If Argentina wins, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open until the game has... Kalshi summary: Argentina vs Austria Winner? If Argentina wins the Argentina vs Austria professional FIFA World Cup soccer game originally scheduled for Jun 22, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to...",qisongqiao,2026-06-22T12:14:08Z,User approved all strict suggested mappings on 2026-06-22T12:14:08Z; source run_id=mapping-fix-classifier-20260621T122459Z; match_score=100.0.
fifwc-arg-aut-2026-06-22-aut__kxwcgame-26jun22argaut-aut,approved,Argentina vs. Austria,Austria to win in regular time,0x73b3d2eee243a7f5438e12b72e2f33da013b0f3963302ee62bbc9198df121515,fifwc-arg-aut-2026-06-22-aut,89153404871462295225932923711930844386489455338217882638440216779894680412312,57582970448257176080674344761768626208441794265754464064680791126733576973925,Yes,No,KXWCGAME-26JUN22ARGAUT-AUT,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"Approved strict automated match suggestion with match_score=100. Both normalized summaries indicate regular time plus stoppage time only; extra time and penalties are excluded. Draw/Tie is modeled as a separate outcome, so team-winner propositions resolve No on draw. Polymarket summary: Will Austria win on 2026-06-22? In the upcoming game, scheduled for June 22, 2026 If Austria wins, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open until the game has been... Kalshi summary: Argentina vs Austria Winner? If Austria wins the Argentina vs Austria professional FIFA World Cup soccer game originally scheduled for Jun 22, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Y...",qisongqiao,2026-06-22T12:14:08Z,User approved all strict suggested mappings on 2026-06-22T12:14:08Z; source run_id=mapping-fix-classifier-20260621T122459Z; match_score=100.0.
fifwc-arg-aut-2026-06-22-draw__kxwcgame-26jun22argaut-tie,approved,Argentina vs. Austria,Argentina vs. Austria to end in a draw in regular time,0xac111edf9fdf6fab06525d9a0216c16a2e54483c0df7ac58f1a83e9fa53b0c72,fifwc-arg-aut-2026-06-22-draw,42455935076310849881859802799668778227947193880181063098828866359749449345600,47389312143922690390797971646019973260520894130857187853764999865585392035522,Yes,No,KXWCGAME-26JUN22ARGAUT-TIE,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"Approved strict automated match suggestion with match_score=100. Both normalized summaries indicate regular time plus stoppage time only; extra time and penalties are excluded. Draw/Tie is modeled as a separate outcome, so team-winner propositions resolve No on draw. Polymarket summary: Will Argentina vs. Austria end in a draw? In the upcoming game, scheduled for June 22, 2026 If the game ends in a draw, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open un... Kalshi summary: Argentina vs Austria Winner? If Tie wins the Argentina vs Austria professional FIFA World Cup soccer game originally scheduled for Jun 22, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes....",qisongqiao,2026-06-22T12:14:08Z,User approved all strict suggested mappings on 2026-06-22T12:14:08Z; source run_id=mapping-fix-classifier-20260621T122459Z; match_score=100.0.
fifwc-bel-irn-2026-06-21-bel__kxwcgame-26jun21beliri-bel,approved,Belgium vs. IR Iran,Belgium to win in regular time,0xebb200cb08bbe89c2523a345947d083a992e27cc479cf1b5568407751e026d2c,fifwc-bel-irn-2026-06-21-bel,73247571006255574285385183553023235681702880602976519365262465179094676130340,53597669171978672256468920195937083153038369256192285386370202574271543538681,Yes,No,KXWCGAME-26JUN21BELIRI-BEL,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"Approved strict automated match suggestion with match_score=100. Both normalized summaries indicate regular time plus stoppage time only; extra time and penalties are excluded. Draw/Tie is modeled as a separate outcome, so team-winner propositions resolve No on draw. Polymarket summary: Will Belgium win on 2026-06-21? In the upcoming game, scheduled for June 21, 2026 If Belgium wins, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open until the game has been... Kalshi summary: Belgium vs IR Iran Winner? If Belgium wins the Belgium vs IR Iran professional FIFA World Cup soccer game originally scheduled for Jun 21, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes....",qisongqiao,2026-06-22T12:14:08Z,User approved all strict suggested mappings on 2026-06-22T12:14:08Z; source run_id=mapping-fix-classifier-20260621T122459Z; match_score=100.0.
fifwc-bel-irn-2026-06-21-irn__kxwcgame-26jun21beliri-iri,approved,Belgium vs. IR Iran,IR Iran to win in regular time,0xc4a229b06046a4a30d9b5cd73fc6364f6b7cdc48efc33bfc6b24a2806aa93f30,fifwc-bel-irn-2026-06-21-irn,107259278816298402654822103861927486042412499982187590917424237525323082866574,77753095110749500937469282770452240963872941132005254317370105990221125629419,Yes,No,KXWCGAME-26JUN21BELIRI-IRI,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"Approved strict automated match suggestion with match_score=100. Both normalized summaries indicate regular time plus stoppage time only; extra time and penalties are excluded. Draw/Tie is modeled as a separate outcome, so team-winner propositions resolve No on draw. Polymarket summary: Will IR Iran win on 2026-06-21? In the upcoming game, scheduled for June 21, 2026 If IR Iran wins, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open until the game has been... Kalshi summary: Belgium vs IR Iran Winner? If IR Iran wins the Belgium vs IR Iran professional FIFA World Cup soccer game originally scheduled for Jun 21, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes....",qisongqiao,2026-06-22T12:14:08Z,User approved all strict suggested mappings on 2026-06-22T12:14:08Z; source run_id=mapping-fix-classifier-20260621T122459Z; match_score=100.0.
fifwc-bel-irn-2026-06-21-draw__kxwcgame-26jun21beliri-tie,approved,Belgium vs. IR Iran,Belgium vs. IR Iran to end in a draw in regular time,0x11e878643f63c75e36d58024033ae710c19e696f652fa05ba705ab019402a633,fifwc-bel-irn-2026-06-21-draw,65206879169809471684171181962606426355936771076631263853333189016369249957120,12763597046416546487919110400622432462280558272061069631712565796213969623992,Yes,No,KXWCGAME-26JUN21BELIRI-TIE,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"Approved strict automated match suggestion with match_score=100. Both normalized summaries indicate regular time plus stoppage time only; extra time and penalties are excluded. Draw/Tie is modeled as a separate outcome, so team-winner propositions resolve No on draw. Polymarket summary: Will Belgium vs. IR Iran end in a draw? In the upcoming game, scheduled for June 21, 2026 If the game ends in a draw, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open unti... Kalshi summary: Belgium vs IR Iran Winner? If Tie wins the Belgium vs IR Iran professional FIFA World Cup soccer game originally scheduled for Jun 21, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes. The...",qisongqiao,2026-06-22T12:14:08Z,User approved all strict suggested mappings on 2026-06-22T12:14:08Z; source run_id=mapping-fix-classifier-20260621T122459Z; match_score=100.0.
fifwc-cze-mex-2026-06-24-cze__kxwcgame-26jun24czemex-cze,approved,Czechia vs. Mexico,Czechia to win in regular time,0xb7297ad99cd8e4957c64aca2fbf143efeb7045e95826cf4aa6b327ebfe1f1ec3,fifwc-cze-mex-2026-06-24-cze,75582324068408801617260879555413324403573690501232841899134550992026699982390,548964886295163008477245934054902233334678539089546096450999463363183608482,Yes,No,KXWCGAME-26JUN24CZEMEX-CZE,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"Approved strict automated match suggestion with match_score=100. Both normalized summaries indicate regular time plus stoppage time only; extra time and penalties are excluded. Draw/Tie is modeled as a separate outcome, so team-winner propositions resolve No on draw. Polymarket summary: Will Czechia win on 2026-06-24? In the upcoming game, scheduled for June 24, 2026 If Czechia wins, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open until the game has been... Kalshi summary: Czechia vs Mexico Winner? If Czechia wins the Czechia vs Mexico professional FIFA World Cup soccer game originally scheduled for Jun 24, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes. Th...",qisongqiao,2026-06-22T12:14:08Z,User approved all strict suggested mappings on 2026-06-22T12:14:08Z; source run_id=mapping-fix-classifier-20260621T122459Z; match_score=100.0.
fifwc-cze-mex-2026-06-24-mex__kxwcgame-26jun24czemex-mex,approved,Czechia vs. Mexico,Mexico to win in regular time,0x1f5cd4d1a23c11229b2781303dd39fb60ec6ee369dd173cedef8a7f7a1a27298,fifwc-cze-mex-2026-06-24-mex,67466148034529849001749283892995420841255740280965377423907471965663421834164,108542309228994520905965562569189446143531125126301140836116183436069541077867,Yes,No,KXWCGAME-26JUN24CZEMEX-MEX,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"Approved strict automated match suggestion with match_score=100. Both normalized summaries indicate regular time plus stoppage time only; extra time and penalties are excluded. Draw/Tie is modeled as a separate outcome, so team-winner propositions resolve No on draw. Polymarket summary: Will Mexico win on 2026-06-24? In the upcoming game, scheduled for June 24, 2026 If Mexico wins, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open until the game has been c... Kalshi summary: Czechia vs Mexico Winner? If Mexico wins the Czechia vs Mexico professional FIFA World Cup soccer game originally scheduled for Jun 24, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes. The...",qisongqiao,2026-06-22T12:14:08Z,User approved all strict suggested mappings on 2026-06-22T12:14:08Z; source run_id=mapping-fix-classifier-20260621T122459Z; match_score=100.0.
fifwc-cze-mex-2026-06-24-draw__kxwcgame-26jun24czemex-tie,approved,Czechia vs. Mexico,Czechia vs. Mexico to end in a draw in regular time,0x9de91738929365f104420a4246815a47ea2017b17e30370fa4572ceb84d898b9,fifwc-cze-mex-2026-06-24-draw,104735262279610516248406908690291013202167988132813028132950707551552452029652,112100398795186059824184766659508506391430690207262063747905738492417339256953,Yes,No,KXWCGAME-26JUN24CZEMEX-TIE,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"Approved strict automated match suggestion with match_score=100. Both normalized summaries indicate regular time plus stoppage time only; extra time and penalties are excluded. Draw/Tie is modeled as a separate outcome, so team-winner propositions resolve No on draw. Polymarket summary: Will Czechia vs. Mexico end in a draw? In the upcoming game, scheduled for June 24, 2026 If the game ends in a draw, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open until... Kalshi summary: Czechia vs Mexico Winner? If Tie wins the Czechia vs Mexico professional FIFA World Cup soccer game originally scheduled for Jun 24, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes. The fo...",qisongqiao,2026-06-22T12:14:08Z,User approved all strict suggested mappings on 2026-06-22T12:14:08Z; source run_id=mapping-fix-classifier-20260621T122459Z; match_score=100.0.
fifwc-ecu-ger-2026-06-25-ecu__kxwcgame-26jun25ecuger-ecu,approved,Ecuador vs. Germany,Ecuador to win in regular time,0x44e25f753ae47dbdf2705d35e0a45db24d3a1b2996b82a1350ade2c7e92c4f93,fifwc-ecu-ger-2026-06-25-ecu,14621976022388339155866443939403907158807725281606484508612016632018100973573,135792657791879031181866023056748029392055768984822794561479819351684481583,Yes,No,KXWCGAME-26JUN25ECUGER-ECU,draw/Tie is a separate outcome; team-winner markets resolve No on draw,regular time plus stoppage time only; extra time excluded,penalties excluded,"Approved strict automated match suggestion with match_score=100. Both normalized summaries indicate regular time plus stoppage time only; extra time and penalties are excluded. Draw/Tie is modeled as a separate outcome, so team-winner propositions resolve No on draw. Polymarket summary: Will Ecuador win on 2026-06-25? In the upcoming game, scheduled for June 25, 2026 If Ecuador wins, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"". If the game is postponed, this market will remain open until the game has been... Kalshi summary: Ecuador vs Germany Winner? If Ecuador wins the Ecuador vs Germany professional FIFA World Cup soccer game originally scheduled for Jun 25, 2026 after 90 minutes plus stoppage time (does not include extra time or penalties), then the market resolves to Yes....",qisongqiao,2026-06-22T12:14:08Z,User approved all strict suggested mappings on 2026-06-22T12:14:08Z; source run_id=mapping-fix-classifier-20260621T122459Z; match_score=100.0.
